Question,Answer
"ขอรายละเอียดได้ไหมครับ อยู่ ตจว. เรียนได้ไหม ค่าใช้จ่าย จ่ายอย่างไร ยังไงบ้างครับ","สวัสดีค่ะ"
"ม.6 ตำรวจ ครับ","ไม่ทราบว่านักศึกษามีประสบการณ์ทำงานประมาณกี่ปีคะ"
"10ปีครับ","นักศึกษาสามารถนำวุฒิและประสบการณ์ทำงานมาลดระยะเวลาในการเรียนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากตอนนี้ทางมหาวิทยาลัยมีในส่วนของทุนส่วนลดค่าเทอมให้กับนักศึกษาในวัยทำงานอยู่นะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาทตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"ต้องใช้เอกสารอะไรบ้างครับ","เอกสารที่ต้องใช้จะมี   1.รูปหน้าตรง  2.สำเนาบัตรประชาชน  3.สำเนาทะเบียนบ้าน  4.วุฒิการศึกษา  5.ใบผลการเรียน  6.ใบเปลี่ยนชื่อ (กรณีเคยเปลี่ยน) 7.เอกสารสัญญาจ้าง/บัตรพนักงาน (กรณีรับราชการหรือพนักงานรัฐวิสาหกิจ)"
"เอกสารเกี่ยวกับที่ทำงานใช้เฉพาะบัตรข้าราชการเลยใช่ไหมครับ","ถูกต้องค่ะนักศึกษา"
"สนใจครับ","สวัสดีค่ะ"
"สอบถามรายละเอียดหลักสูตร รัฐศาสตร์ ป ตรี ค่ะ","สวัสดีค่ะ"
"ขอรายละเอียด","อาจารย์ขออนุญาตสอบถามนะคะ ไม่ทราบว่านักศึกษาจบวุฒิใดมาและปัจจุบันประกอบอาชีพใดคะ"
"จบวุฒิ ป.ตรี ค่ะ สบ. ปัจจุบันทำอาชีพนักวิชาการค่ะ","ไม่ทราบว่านักศึกษามีประสบการณ์ทำงานประมาณกี่ปีคะ"
"6 ปีค่ะ","นักศึกษาสามารถนำวุฒิและประสบการณ์ทำงานมาลดระยะเวลาในการเรียนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากตอนนี้ทางมหาวิทยาลัยมีในส่วนของทุนส่วนลดค่าเทอมให้กับนักศึกษาในวัยทำงานอยู่นะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาทตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
